;g6;h6;js6;k6;n6;r6;f7;h7;s7;h8;u8;d9;f9;h9;d11;h11;b12;h12;H7;Js7;K7;F8;H8;H9;H11;H12;Js12;h13;H13;js13,Js13     ± it13/2      ;h14;H14;js14,Js14     ± it14/2      ;h15;H15;js15,Js15     ± it15/2      ;h16;H16;js16,Js16     ± it16/2      ;
_ 65 _ 80 _; - 10      - 29;  0       - 19; + 95     - 95; + 21       + 2; + 39    + 20; + 60       + 41; - 30     - 60;  0       - 30; + 83  + 53;  0       - 46; + 148 + 102; - 100       - 174; - 30      - 104;  0       - 74; - 100      - 290;  0       - 190; - 200     - 500;  0       - 300;+ 30       0; + 15       - 15; + 9      - 21; + 76     + 30;+ 46       0;+ 74       0;+ 190       0;+ 300      0; + 150      - 150;  0        - 460;+ 460        0;± 230;  0        - 740;+ 740        0;± 370;  0        - 1200;+ 1200       0;± 600;  0        - 1900;+ 1900       0;± 950;_ 65 _ 80 _
_ 80 _ 100 _ ; - 12      - 34;  0       - 22; + 110     - 110; + 25       + 3; + 45    + 23; + 73       + 51; - 36     - 71;  0       - 35; + 106 + 71;  0       - 54; + 178 + 124; - 120       - 207; - 36      - 123;  0       - 87; - 120      - 340;  0       - 220; - 220     - 570;  0       - 350;+ 35       0; + 17       - 17; + 10      - 25; + 90     + 36;+ 54       0;+ 87      0;+ 220      0;+ 350      0; + 175      - 175;  0        - 540;+ 540        0;± 270;  0        - 870;+ 870        0;± 435;  0        - 1400;+ 1400        0;± 700;  0        - 2200;+ 2200       0;± 1100;_ 80 _ 100 _ 
_ 100 _ 120 _; - 12      - 34;  0       - 22; + 110     - 110; + 25       + 3; + 45    + 23; + 73       + 51; - 36     - 71;  0       - 35; + 106 + 71;  0       - 54; + 198 + 144; - 120       - 207; - 36      - 123;  0       - 87; - 120      - 340;  0       - 220; - 240     - 590;  0       - 350;+ 35       0; + 17       - 17; + 10      - 25; + 90     + 36;+ 54       0;+ 87      0;+ 220      0;+ 350      0; + 175      - 175;  0        - 540;+ 540        0;± 270;  0        - 870;+ 870        0;± 435;  0        - 1400;+ 1400        0;± 700;  0        - 2200;+ 2200       0;± 1100;_ 100 _ 120 _
_ 120 _ 140 _; - 14        - 39;  0        - 25; + 125        - 125; + 28        + 3; + 52        + 27; + 88  + 63; - 43        - 83;  0        - 40; + 132 + 92;  0        - 63; + 233 + 170; - 145       - 245; - 43      - 143;  0        - 100; - 145       - 395;  0        - 250; - 260    - 660;  0        - 400; + 40        0; + 20        - 20; + 12        - 28; + 106        + 43; + 63        0; + 100        0; + 250       0; + 400       0; + 200       - 200;  0        - 630;+ 630        0;± 315;  0        - 1000;+ 1000         0;± 500;  0        - 1600;+ 1600         0;± 800;  0        - 2500;+ 2500         0;± 1250;_ 120 _ 140 _
_ 140 _ 160 _; - 14        - 39;  0        - 25; + 125        - 125; + 28        + 3; + 52        + 27; + 90  + 65; - 43        - 83;  0        - 40; + 140 + 100;  0        - 63; + 253 + 190; - 145       - 245; - 43      - 143;  0        - 100; - 145       - 395;  0        - 250; - 280     - 680;  0        - 400; + 40        0; + 20        - 20; + 12        - 28; + 106        + 43; + 63        0; + 100        0; + 250       0; + 400       0; + 200       - 200;  0        - 630;+ 630        0;± 315;  0        - 1000;+ 1000         0;± 500;  0        - 1600;+ 1600         0;± 800;  0        - 2500;+ 2500         0;± 1250;_ 140 _ 160 _
_ 160 _ 180 _; - 14        - 39;  0        - 25; + 125        - 125; + 28        + 3; + 52        + 27; + 93  + 68; - 43        - 83;  0        - 40; + 148 + 108;  0        - 63; + 273 + 210; - 145       - 245; - 43      - 143;  0        - 100; - 145       - 395;  0        - 250; - 310     - 710;  0        - 400; + 40        0; + 20        - 20; + 12        - 28; + 106        + 43; + 63        0; + 100        0; + 250       0; + 400       0; + 200       - 200;  0        - 630;+ 630        0;± 315;  0        - 1000;+ 1000         0;± 500;  0        - 1600;+ 1600         0;± 800;  0        - 2500;+ 2500         0;± 1250;_ 160 _ 180 _
_ 180 _ 200 _; - 15        - 44;  0        - 29; + 145        - 145; + 33        + 4; + 60        + 31; + 106 + 77; - 50       - 96;  0        - 46; + 168 + 122;  0        - 72; + 308 + 236; - 170      - 285; - 50     - 165;  0        - 115; - 170       - 460;  0        - 290; - 340     - 800;  0        - 460; + 46        0; + 23        - 23; + 13        - 33; + 122       + 50; + 72        0; + 115       0; + 290       0; + 460       0; + 230       - 230;  0        - 720;+ 720        0;± 360;  0        - 1150;+ 1150         0;± 575;  0        - 1850;+ 1850         0;± 925;  0        - 2900;+ 2900         0;± 1450;_ 180 _ 200 _
_ 200 _ 225 _; - 15        - 44;  0        - 29; + 145        - 145; + 33        + 4; + 60        + 31; + 109 + 80; - 50       - 96;  0        - 46; + 176 + 130;  0        - 72; + 330 + 258; - 170      - 285; - 50     - 165;  0        - 115; - 170       - 460;  0        - 290; - 380     - 840;  0        - 460; + 46        0; + 23        - 23; + 13        - 33; + 122       + 50; + 72        0; + 115       0; + 290       0; + 460       0; + 230       - 230;  0        - 720;+ 720        0;± 360;  0        - 1150;+ 1150         0;± 575;  0        - 1850;+ 1850         0;± 925;  0        - 2900;+ 2900         0;± 1450;_ 200 _ 225 _
_ 225 _ 250 _; - 15        - 44;  0        - 29; + 145        - 145; + 33        + 4; + 60        + 31; + 113 + 84; - 50       - 96;  0        - 46; + 186 + 140;  0        - 72; + 336 + 284; - 170      - 285; - 50     - 165;  0        - 115; - 170       - 460;  0        - 290; - 420    - 880;  0        - 460; + 46        0; + 23        - 23; + 13        - 33; + 122       + 50; + 72        0; + 115       0; + 290       0; + 460       0; + 230       - 230;  0        - 720;+ 720        0;± 360;  0        - 1150;+ 1150         0;± 575;  0        - 1850;+ 1850         0;± 925;  0        - 2900;+ 2900         0;± 1450;_ 225 _ 250 _
_ 250 _ 280 _; - 17      - 49;  0       - 32; + 160     - 160; + 36       + 4; + 66    + 34; + 126 + 94; - 56     - 108;  0       - 52; + 210 + 158;  0       - 81; + 396 + 315; - 190       - 320; - 56      - 186;  0       - 130; - 190      - 510;  0       - 320; - 480     - 1000;  0       - 520;+ 52       0; + 26      - 26; + 16      - 36; + 137    + 56;+ 81       0;+ 130      0;+ 320      0;+ 520      0; + 260     - 260;  0        - 810;+ 810        0;± 405;  0        - 1300;+ 1300        0;± 650;  0        - 2100;+ 2100       0;± 1050;  0        - 3200;+ 3200        0;± 1600;_ 250 _ 280 _
